"gene","pathway","cor","pvalue","p_adj"
"PMP2","Axon_ensheathment_in_central_nervous_system",0.815584459966636,2.49773792308051e-171,2.04410500583543e-164
"PLP1","Axon_ensheathment_in_central_nervous_system",0.804451036819363,3.27746119992755e-163,1.34110844522486e-156
"CNTN2","Axon_ensheathment_in_central_nervous_system",0.789049290775476,8.31857388831244e-153,2.26925843171729e-146
"SHC4","Axon_ensheathment_in_central_nervous_system",0.771063272169004,1.04251625528095e-141,2.13294264821866e-135
"PRDX6","Adiponectin_activated_signaling_pathway",0.763642641967261,2.01838110896259e-137,3.30361555581116e-131
"VTI1B","Neutral_lipid_metabolic_process",0.758049206753169,2.71191733847737e-134,3.69897615209409e-128
"PC","Neutral_lipid_metabolic_process",0.757350229685608,6.57963024056359e-134,7.69236320764004e-128
"GHR","Adiponectin_activated_signaling_pathway",0.756388443421382,2.21676621242006e-133,2.26770334354483e-127
"VKORC1L1","Neutral_lipid_metabolic_process",0.756233879970753,2.69317763339466e-133,2.44894382729067e-127
"TYRO3","Glucose_import_in_response_to_insulin_stimulus",0.754458723575883,2.49311014474664e-132,2.04031771303312e-126
"PGD","Neutral_lipid_metabolic_process",0.7525609444909,2.63555547233927e-131,1.92498756516639e-125
"CPM","Adiponectin_activated_signaling_pathway",0.752505499388198,2.8226227689371e-131,1.92498756516639e-125
"ATP5MG","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.751397150557915,1.10742414662267e-130,6.97151185902633e-125
"HEBP2","Adiponectin_activated_signaling_pathway",0.750703933558315,2.59432641354213e-130,1.51653666866474e-124
"GFRA3","Axon_ensheathment_in_central_nervous_system",0.75061841780292,2.88102991492709e-130,1.57185630956855e-124
"COX7A2","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.750481541013116,3.40701211662378e-130,1.74264943345804e-124
"ATP5MK","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.750264717353784,4.44261389797683e-130,2.13868086374178e-124
"AIFM2","Neutral_lipid_metabolic_process",0.74996457826526,6.4120715924508e-130,2.9152928777827e-124
"ACO1","Neutral_lipid_metabolic_process",0.749687254522949,8.99585112446675e-130,3.87476164887837e-124
"ACSL1","Neutral_lipid_metabolic_process",0.747538154493827,1.22184618607053e-128,4.99968768185932e-123
"AGPAT2","Neutral_lipid_metabolic_process",0.746459562676849,4.48036319707179e-128,1.74602420672743e-122
"FAH","Neutral_lipid_metabolic_process",0.745759974270153,1.03703809364903e-127,3.85769921670786e-122
"ATP5PF","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.744986058007941,2.6158239714235e-127,9.30758504910214e-122
"BCAP31","Neutral_lipid_metabolic_process",0.743840693423457,1.02237691101466e-126,3.48623071824356e-121
"PLEKHB1","Axon_ensheathment_in_central_nervous_system",0.743487945223898,1.55345352028155e-126,5.04286309237115e-121
"FITM2","Glucose_import_in_response_to_insulin_stimulus",0.743461913859736,1.60211686346726e-126,5.04286309237115e-121
"FITM2","Adiponectin_activated_signaling_pathway",0.742781421899453,3.58347554376401e-126,1.08616802747942e-120
"UQCRH","Mitochondrial_electron_transport_ubiquinol_to_cytochrome_c",0.741665371537057,1.33443454345075e-125,3.90027813484136e-120
"RXRA","Glucose_import_in_response_to_insulin_stimulus",0.741609905718736,1.42428713002483e-125,4.01935055926739e-120
"ENSG00000249743","Axon_ensheathment_in_central_nervous_system",0.740966602188177,3.02899637922846e-125,8.26292543107978e-120
"PC","Glucose_import_in_response_to_insulin_stimulus",0.74083108014836,3.54984811553728e-125,9.37139863036674e-120
"ERBB3","Axon_ensheathment_in_central_nervous_system",0.740735697166362,3.96903335766714e-125,1.0150585755722e-119
"MLEC","Glucose_import_in_response_to_insulin_stimulus",0.740234799876097,7.12684280189192e-125,1.76741922100585e-119
"COX5A","Mitochondrial_electron_transport_ubiquinol_to_cytochrome_c",0.738821416073806,3.69019182468224e-124,8.88231885577356e-119
"COX5B","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.737923048030567,1.04367579495608e-123,2.44036001790184e-118
"STAT5A","Adiponectin_activated_signaling_pathway",0.737323476087126,2.08388692825299e-123,4.73726831683612e-118
"LPL","Neutral_lipid_metabolic_process",0.73702335074486,2.94366806927615e-123,6.51093630730915e-118
"MGST1","Neutral_lipid_metabolic_process",0.736520674551553,5.24427577380543e-123,1.12942724169903e-117
"BCL2L13","Adiponectin_activated_signaling_pathway",0.736463009051797,5.60298325243397e-123,1.17573934399616e-117
"RETSAT","Neutral_lipid_metabolic_process",0.736291601819232,6.81999638178892e-123,1.39534142222984e-117
"VTI1B","Glucose_import_in_response_to_insulin_stimulus",0.736234655531621,7.27997591549377e-123,1.4531231438199e-117
"SOX10","Axon_ensheathment_in_central_nervous_system",0.735920693570566,1.04298143685349e-122,2.03228037082322e-117
"OXCT1","Glucose_import_in_response_to_insulin_stimulus",0.735305971010641,2.10551086344183e-122,4.00724010279229e-117
"MRAP","Neutral_lipid_metabolic_process",0.734430927924168,5.70377796140604e-122,1.060880015341e-116
"PRXL2A","Adiponectin_activated_signaling_pathway",0.732439619840704,5.42875543637384e-121,9.87288543535159e-116
"MTARC1","Neutral_lipid_metabolic_process",0.731643151866522,1.32931242824839e-120,2.36496962676301e-115
"MLEC","Neutral_lipid_metabolic_process",0.730613475294819,4.21083247787969e-120,7.33206725601782e-115
"MTARC1","Adiponectin_activated_signaling_pathway",0.730548147557344,4.52959344849216e-120,7.72279168825132e-115
"UQCRH","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.729561577041291,1.35996413118097e-119,2.27136907262493e-114
"C19orf12","Neutral_lipid_metabolic_process",0.729235484980956,1.95380583137004e-119,3.19792100158239e-114
"COL28A1","Axon_ensheathment_in_central_nervous_system",0.728667052956238,3.66966482762816e-119,5.88860681528707e-114
"RTN3","Neutral_lipid_metabolic_process",0.728289293394244,5.57394819060581e-119,8.7723493367278e-114
"MRPS15","Mitochondrial_electron_transport_ubiquinol_to_cytochrome_c",0.727843276426307,9.12236159247478e-119,1.40400422644715e-113
"UQCR10","Mitochondrial_electron_transport_ubiquinol_to_cytochrome_c",0.727829297370169,9.26415560305186e-119,1.40400422644715e-113
"PDP2","Adiponectin_activated_signaling_pathway",0.727788287891312,9.69291868814571e-119,1.44227545969117e-113
"FLJ16779","Axon_ensheathment_in_central_nervous_system",0.727754012239408,1.00664000376331e-118,1.47110100514255e-113
"RNPEPL1","Glucose_import_in_response_to_insulin_stimulus",0.727577905761306,1.22235604425933e-118,1.75500841296678e-113
"ZBTB7B","Glucose_import_in_response_to_insulin_stimulus",0.727486281218618,1.35220745894733e-118,1.90797055305511e-113
"LDHB","Adiponectin_activated_signaling_pathway",0.727451773203995,1.40459784349332e-118,1.94830219432656e-113
"EIF4EBP2","Adiponectin_activated_signaling_pathway",0.727390539839024,1.50258778010899e-118,2.04948590659174e-113
"TST","Neutral_lipid_metabolic_process",0.726419135221989,4.36912988702301e-118,5.86167121273214e-113
"RIDA","Adiponectin_activated_signaling_pathway",0.726045147597999,6.58156052364549e-118,8.68747412135856e-113
"SLC66A2","Adiponectin_activated_signaling_pathway",0.725742863002059,9.16078055902792e-118,1.19000357076963e-112
"TNFAIP8","Adiponectin_activated_signaling_pathway",0.725311259545538,1.46769862628272e-117,1.87677948597472e-112
"PRKAR2B","Neutral_lipid_metabolic_process",0.725180519164095,1.69265420227133e-117,2.13113627336971e-112
"RASL10B","Adiponectin_activated_signaling_pathway",0.724664438493352,2.9695068783169e-117,3.68210979218815e-112
"ACSL1","Adiponectin_activated_signaling_pathway",0.724051922454368,5.7768857300223e-117,7.05627191932832e-112
"ECHDC3","Adiponectin_activated_signaling_pathway",0.723855150106126,7.15110075641088e-117,8.60637605115209e-112
"EMC3","Adiponectin_activated_signaling_pathway",0.723286137110418,1.32410865908374e-116,1.57047442709072e-111
"ATP5MK","Mitochondrial_respirasome_assembly",0.72257085090939,2.86616748542699e-116,3.35088758877494e-111
"MTHFD1","Glucose_import_in_response_to_insulin_stimulus",0.722475336481973,3.17691618395616e-116,3.6618769139669e-111
"VEGFB","Glucose_import_in_response_to_insulin_stimulus",0.722110655250211,4.70453894193215e-116,5.34737825089692e-111
"MRAS","Neutral_lipid_metabolic_process",0.721814479043129,6.46840192994447e-116,7.25154375675723e-111
"BCAP31","Adiponectin_activated_signaling_pathway",0.72134166233339,1.07442268349501e-115,1.18464855524175e-110
"ZNF106","Glucose_import_in_response_to_insulin_stimulus",0.721331956019882,1.08566155365164e-115,1.18464855524175e-110
"CLMP","Neutral_lipid_metabolic_process",0.721290810724828,1.13461807983103e-115,1.22177839568068e-110
"STK39","Adiponectin_activated_signaling_pathway",0.720846725552244,1.8254683507869e-115,1.94017058777644e-110
"MCCC2","Adiponectin_activated_signaling_pathway",0.720074403839204,4.16477953884119e-115,4.36972139864834e-110
"BCAS1","Axon_ensheathment_in_central_nervous_system",0.719521480507093,7.50423454853353e-115,7.77384079799398e-110
"TST","Glucose_import_in_response_to_insulin_stimulus",0.719479294472637,7.84858071337934e-115,8.02892638208396e-110
"UQCR11","Mitochondrial_electron_transport_cytochrome_c_to_oxygen",0.719145277619915,1.11928066910199e-114,1.13086384219921e-109
"PNPLA2","Neutral_lipid_metabolic_process",0.718944931385121,1.38449228356254e-114,1.38176128811296e-109
"ATP5MG","Mitochondrial_electron_transport_ubiquinol_to_cytochrome_c",0.718930411510263,1.40598433379995e-114,1.38630478801932e-109
"ABHD15","Glucose_import_in_response_to_insulin_stimulus",0.718402978371092,2.45869857260969e-114,2.39542367214137e-109
"TENM2","Axon_ensheathment_in_central_nervous_system",0.718243590698555,2.91035445807212e-114,2.80209783209789e-109
"ACACB","Adiponectin_activated_signaling_pathway",0.718124905384874,3.29951613717936e-114,3.13984449434324e-109
"ABHD15","Neutral_lipid_metabolic_process",0.717805555183676,4.62346090317138e-114,4.34914884205707e-109
"VTI1B","Adiponectin_activated_signaling_pathway",0.717661351678753,5.38345010485884e-114,5.00650154027232e-109
"BOK","Neutral_lipid_metabolic_process",0.717102555272494,9.70031614223573e-114,8.91974042165532e-109
"IRS2","Adiponectin_activated_signaling_pathway",0.716966538392233,1.11927874265741e-113,1.01777570623647e-108
"ELOA","Adiponectin_activated_signaling_pathway",0.716703184446918,1.47629314873557e-113,1.32766206351109e-108
"ATP5MK","Mitochondrial_electron_transport_ubiquinol_to_cytochrome_c",0.716328463105289,2.18783902951198e-113,1.94618388540173e-108
"TMEM132C","Glucose_import_in_response_to_insulin_stimulus",0.715747268546106,4.02203159719631e-113,3.53931212214249e-108
"PGM1","Neutral_lipid_metabolic_process",0.715378911053188,5.91147403907383e-113,5.14664564125781e-108
